date,service,type
"2011-07-25 17:17:59 +0000","twitter","tweet"
"2011-07-25 17:14:55 +0000","twitter","tweet"
"2011-07-25 15:32:45 +0000","twitter","tweet"
"2011-07-25 15:20:19 +0000","twitter","tweet"
"2011-07-25 13:24:44 +0000","twitter","tweet"
"2011-07-25 11:57:06 +0000","twitter","tweet"
"2011-07-25 09:30:56 +0000","twitter","tweet"
"2011-07-25 07:16:52 +0000","twitter","tweet"
"2011-07-25 04:54:17 +0000","twitter","tweet"
"2011-07-25 04:53:42 +0000","twitter","tweet"
"2011-07-25 04:49:24 +0000","twitter","tweet"
"2011-07-25 04:47:42 +0000","twitter","tweet"
"2011-07-24 18:57:38 +0000","twitter","tweet"
"2011-07-24 18:54:03 +0000","twitter","tweet"
"2011-07-23 15:56:26 +0000","twitter","tweet"
"2011-07-23 15:52:22 +0000","twitter","tweet"
"2011-07-23 15:09:10 +0000","twitter","tweet"
"2011-07-23 14:22:15 +0000","twitter","tweet"
"2011-07-23 13:55:53 +0000","twitter","tweet"
"2011-07-22 14:05:55 +0000","twitter","tweet"
"2011-07-22 12:43:27 +0000","twitter","tweet"
"2011-07-22 11:09:06 +0000","twitter","tweet"
"2011-07-22 10:23:29 +0000","twitter","tweet"
"2011-07-22 07:33:17 +0000","twitter","tweet"
"2011-07-22 05:58:15 +0000","twitter","tweet"
"2011-07-22 05:50:59 +0000","twitter","tweet"
"2011-07-22 03:52:38 +0000","twitter","tweet"
"2011-07-22 03:42:47 +0000","twitter","tweet"
"2011-07-22 03:24:14 +0000","twitter","tweet"
"2011-07-21 15:32:35 +0000","twitter","tweet"
"2011-07-21 12:15:59 +0000","twitter","tweet"
"2011-07-21 11:16:36 +0000","twitter","tweet"
"2011-07-21 10:06:26 +0000","twitter","tweet"
"2011-07-21 09:19:39 +0000","twitter","tweet"
"2011-07-21 03:22:44 +0000","twitter","tweet"
"2011-07-20 14:15:26 +0000","twitter","tweet"
"2011-07-20 13:12:24 +0000","twitter","tweet"
"2011-07-20 13:01:09 +0000","twitter","tweet"
"2011-07-20 12:49:25 +0000","twitter","tweet"
"2011-07-20 11:02:17 +0000","twitter","tweet"
"2011-07-20 09:44:49 +0000","twitter","tweet"
"2011-07-19 11:37:24 +0000","twitter","tweet"
"2011-07-19 09:41:41 +0000","twitter","tweet"
"2011-07-19 09:35:45 +0000","twitter","tweet"
"2011-07-19 08:31:44 +0000","twitter","tweet"
"2011-07-19 08:31:23 +0000","twitter","tweet"
"2011-07-19 03:11:29 +0000","twitter","tweet"
"2011-07-19 03:07:13 +0000","twitter","tweet"
"2011-07-18 06:04:20 +0000","twitter","tweet"
"2011-07-17 16:30:41 +0000","twitter","tweet"
"2011-07-17 15:11:22 +0000","twitter","tweet"
"2011-07-17 08:14:06 +0000","twitter","tweet"
"2011-07-17 03:21:40 +0000","twitter","tweet"
"2011-07-17 01:46:31 +0000","twitter","tweet"
"2011-07-16 15:30:29 +0000","twitter","tweet"
"2011-07-16 15:07:30 +0000","twitter","tweet"
"2011-07-16 08:02:54 +0000","twitter","tweet"
"2011-07-16 06:53:06 +0000","twitter","tweet"
"2011-07-16 06:00:15 +0000","twitter","tweet"
"2011-07-16 02:29:15 +0000","twitter","tweet"
"2011-07-16 01:54:55 +0000","twitter","tweet"
"2011-07-15 10:08:56 +0000","twitter","tweet"
"2011-07-15 08:34:33 +0000","twitter","tweet"
"2011-07-15 03:48:31 +0000","twitter","tweet"
"2011-07-15 01:45:32 +0000","twitter","tweet"
"2011-07-14 10:27:52 +0000","twitter","tweet"
"2011-07-14 09:45:58 +0000","twitter","tweet"
"2011-07-14 04:05:51 +0000","twitter","tweet"
"2011-07-14 04:03:57 +0000","twitter","tweet"
"2011-07-14 03:55:00 +0000","twitter","tweet"
"2011-07-14 03:50:28 +0000","twitter","tweet"
"2011-07-14 03:44:55 +0000","twitter","tweet"
"2011-07-13 10:17:26 +0000","twitter","tweet"
"2011-07-13 09:39:16 +0000","twitter","tweet"
"2011-07-13 08:58:46 +0000","twitter","tweet"
"2011-07-13 08:36:53 +0000","twitter","tweet"
"2011-07-13 02:07:28 +0000","twitter","tweet"
"2011-07-13 02:04:01 +0000","twitter","tweet"
"2011-07-12 08:02:08 +0000","twitter","tweet"
"2011-07-12 06:52:26 +0000","twitter","tweet"
"2011-07-12 03:48:36 +0000","twitter","tweet"
"2011-07-12 02:50:51 +0000","twitter","tweet"
"2011-07-12 02:45:39 +0000","twitter","tweet"
"2011-07-11 11:32:10 +0000","twitter","tweet"
"2011-07-11 10:18:58 +0000","twitter","tweet"
"2011-07-11 08:20:09 +0000","twitter","tweet"
"2011-07-11 08:14:28 +0000","twitter","tweet"
"2011-07-11 03:51:24 +0000","twitter","tweet"
"2011-07-11 03:51:24 +0000","twitter","tweet"
"2011-07-10 01:11:30 +0000","twitter","tweet"
"2011-07-10 01:02:35 +0000","twitter","tweet"
"2011-07-08 14:22:04 +0000","twitter","tweet"
"2011-07-08 11:34:19 +0000","twitter","tweet"
"2011-07-08 09:37:02 +0000","twitter","tweet"
"2011-07-08 05:44:42 +0000","twitter","tweet"
